95ZAGREB4339,Robert P. Finn
95DAMASCUS5748,Christopher W.S. Ross
95TELAVIV17504,B) And (D). Niact Precedence Because Of Government Crisis In Israel. 2
95TELAVIV17508,Richard Erdman
95JERUSALEM3642,Edward G. Abington
95ZAGREB4432,Robert P. Finn
95PHNOMPENH3699,Robert C. Porter
95ZAGREB4502,Robert P. Finn
95ZAGREB4601,Robert P. Finn
95LONDON15945,Michael J. Habib
95RIYADH5221,Theodore Kattouf
95GABORONE6513,Howard F. Jeter
95RIYADH5285,Theodore Kattouf
95ZAGREB4931,Peter W. Galbraith
95RIYADH5405,Theodore Kattouf
95RIYADH5472,Theodore H. Kattouf
95ZAGREB5299,Peter W. Galbraith
96TELAVIV267,James Larocco
96ANKARA813,James T. Heg
96RIYADH763,Theodore Kattouf
96ADDISABABA1545,Jeffrey Jacobs
96AMMAN2094,Robert Beecroft
96RIYADH1338,Theodore Kattouf
96BANDARSERIBEGAWAN290,Theresa A. Tull
96BANDARSERIBEGAWAN308,Theresa A. Tull
96STATE86789,Mary Beth Leonard
96NAIROBI6573,Timothy Carney
96RIYADH2406,Theodore Kattouf
96KUWAIT4046,Georgia Debell
96RIYADH2696,Theodore Kattouf
96ISLAMABAD5972,"Thomas W. Simons, Jr."
96HAVANA5288,Michael G. Kozak
96STATE183372,Lee O. Coldren
96ASHGABAT2612,Tatiana C. Gfoeller
96BOGOTA8773,S.K. Abeyta
96STATE194868,"E. Gibson Lanpher, Jr."
96ISLAMABAD8053,Tom Price
96ISLAMABAD8055,Tom Price
96JEDDAH948,Consul Douglas Neumann. Reason
96DAMASCUS4911,Marjorie Ransom
96BANJUL2394,Douglas Rohn
96BANJUL2424,Kimberly Kelly
96STATE214855,Robin L. Raphel
96ISLAMABAD8679,Tom Price
96JAKARTA7841,Ed Mcwilliams
96JERUSALEM3094,"Edward G. Abington, Jr."
96BOGOTA10967,S.K. Abeyta
96PESHAWAR1059,Brad Hanson
96ABUDHABI7350,David Pearce
96STATE237921,Tom Fingar
96ANKARA12278,Richard Mckee
96ALGIERS3262,Joseph Stafford
96RIYADH4784,Albert Thibault
96CAIRO13851,Vincent Battle
97ANKARA231,Marc Sievers
97BEIJING3816,William A. Stanton
97SOFIA1105,Rose Likins
97ALGIERS734,Ronald Neumann
97ALGIERS952,Ronald Neumann
97ISLAMABAD2488,Tom Price
97ISLAMABAD2533,John C. Holzman
97ADDISABABA2584,Jeffrey Jacobs
97ISTANBUL1030,Thomas H. Carter
97ISLAMABAD3085,Dan Mozena
97TASHKENT2034,Escudero
97STATE83213,Robin L. Raphel
97SOFIA3097,Assador Bohlen. Reason
97NIAMEY2216,Charles O. Cecil
97DAMASCUS2809,Christopher W.S. Ross
97ABUDHABI3777,David D. Pearce
97AMMAN5383,Roberta Newell
97LIMA4928,James F. Mack
97ROME5198,James Cunningham
97ISLAMABAD5640,Mike Anderson
97STATE133614,Director
97BANDARSERIBEGAWAN631,Glen R. Rase
97ACCRA4941,Edward Brynn
97TIRANA1976,M. R. Lino
97JAKARTA4948,Edmund Mcwilliams
97KARACHI1443,Douglas B. Archard
97HAVANA4970,Michael G. Kozak
97ANKARA8752,Marc Sievers
97DHAKA4187,John Holzman
97GABORONE4838,Scott Delisi
97ISLAMABAD7636,Tom Price
97TAIPEI4246,Lauren Moriarty
97COLOMBO3477,Michael Owen
97COLOMBO3548,Andrew Mann
97KUALALUMPUR4130,John R. Malott
97NIAMEY5135,Charles O. Cecil
97CAIRO11981,Jeff Millington
97CAIRO12034,Jeff Millington
97ADDISABABA8889,Martin G. Brennan
97MEXICO11061,Val Martinez
97JAKARTA6773,Ed Mcwilliams
97STATE230033,Robert Carlin
97WELLINGTON1656,Josiah H. Beeman
97TIRANA3065,Chg Robert F. Cekuta
98NDJAMENA443,D. Halsted
98CARACAS539,Thomas A. Shannon
98STATE34310,Kenneth R. Mckune
98RIYADH879,Theodore Kattouf
98PRETORIA3354,Line
98STATE55357,Kenneth R. Mckune
98BANGKOK4204,Marc Nicholson
98AMMAN3050,Janet A. Sanderson
98ISLAMABAD2617,Alan Eastham
98STATE62472,Karl F. Inderfurth
98ISLAMABAD3474,Alan Eastham
98BRUSSELS2939,William R. Regan
98KINSHASA3602,Dennis Hankins
98ISLAMABAD3858,Geoffrey R. Pyatt
98ISLAMABAD3918,Dan Mozena
98ISLAMABAD3966,Dan Mozena
98USUNNEWYORK1622,William B. Wood
98ISLAMABAD3977,Geoffrey R. Pyatt
98PARIS11954,Michael E. Parmly
98ISLAMABAD4003,Dan Mozena
98STATE96941,Kenneth R. Mckune
98USUNNEWYORK1638,Howard Stoffer
98KUWAIT4010,Reason
98STATE143823,David Welch
98STATE144034,O: Greta Holtz
98ADDISABABA6302,Julie B. Winn
98STATE154474,Martin S. Indyk
98USUNNEWYORK2600,Mark Minton
98JERUSALEM2378,Jerry Feierstein
98ISLAMABAD6509,John R. Schmidt
98ANKARA9055,Mark R. Parris
98AMMAN8578,William J. Burns
98CARACAS2912,John F. Maisto
98BEIRUT3570,Satterfield
98RIYADH3482,Albert Thibault
98BEIRUT3820,David M. Satterfield
98ISLAMABAD7870,Geoffrey Pyatt
98ISLAMABAD8066,John R. Schmidt
98CARACAS3241,Thomas A. Shannon
98BEIJING18771,James R. Sasser
98TELAVIV15545,John Scott
98PRETORIA15505,Reed Fendrick
98CARACAS3576,Thomas A. Shannon
98KUWAIT8116,The Ambassador
98JEDDAH1247,Stephen W. Buck
98CARACAS3816,Thomas A. Shannon
99CARACAS25,Thomas A. Shannon
99STATE2487,Michael E. Malinowski
99HAVANA75,Michael G. Kozak
99DAMASCUS239,Ryan C. Crocker
99TUNIS305,Robin L. Raphel
99ISLAMABAD495,Richard Hoagland
99MOSCOW2479,John M. Ordway
99CARACAS400,Perry E. Ball
99CARACAS404,Thomas A. Shannon
99STATE31692,Karl F. Inderfurth
99MOSCOW4277,Edward J. Salazar
99CARACAS745,John F. Maisto
99CAIRO2104,Richard Lebaron
99CARACAS811,John F. Maisto
99STATE51304,David Welch
99JAKARTA1577,Michael P. Owens
99CARACAS1305,John F. Maisto
99TUNIS2120,Assador Robin L. Raphel Based On
99DAMASCUS2528,Ryan C. Crocker
99RIYADH2025,John Moran
99JERUSALEM1970,John E. Herbst
99CARACAS2123,John F. Maisto
99BANDARSERIBEGAWAN381,Georgia T. Wright
99BEIJING7008,James F. Moriarty
99DAMASCUS4200,Ryan C. Crocker
99JAKARTA4282,J. Stapleton Roy
99HONGKONG8575,Lisa Kubiske
99STATE184471,John Limbert
99BEIRUT4484,David Satterfield
99GABORONE5380,Scott Delisi
99PRETORIA12830,Mdragsdale
99JAKARTA5612,Col Joseph H. Daves
99CARACAS3882,John F. Maisto
99JAKARTA5955,Pamela Slutz
99TELAVIV15987,John Scott
99ALMATY12359,Douglas B. Kent
99BEIRUT5413,David M. Satterfield
00HANOI686,James Bruno
00PRETORIA2660,Mdragsdale
00HARARE1842,Earl M. Irving
00HARARE1914,Makila James
00HARARE1969,Tom Mcdonald
00HARARE1970,Tom Mcdonald
00HANOI765,Dennis Harter
00HARARE2081,Mark Prokop
00HARARE2100,Irving
00HARARE2101,Tom Mcdonald
00HARARE2102,Tom Mcdonald
00HARARE2120,Jon Hooper
00BEIRUT1411,David Satterfield
00HARARE2164,Mcdonald
00ATHENS1917,Terry R. Snell
